Rank;Track;Artist;Streams;Date
1;China;by Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna;725397;8/1/19
2;Otro Trago - Remix;by Sech, Ozuna, Anuel AA, Darell, Nicky Jam;474366;8/1/19
3;Callaita;by Bad Bunny, Tainy;383603;8/1/19
4;Señorita;by Shawn Mendes, Camila Cabello;328670;8/1/19
5;Soltera - Remix;by Lunay, Daddy Yankee, Bad Bunny;295533;8/1/19
6;No Me Conoce - Remix;by Jhay Cortez, J Balvin, Bad Bunny;294297;8/1/19
7;LA CANCIÓN;by J Balvin, Bad Bunny;291563;8/1/19
8;Mirándote;by Rvfv;277440;8/1/19
9;QUE PRETENDES;by J Balvin, Bad Bunny;270941;8/1/19
10;Loco Contigo (feat. J. Balvin & Tyga);by DJ Snake, J Balvin;259629;8/1/19
11;Lola Bunny;by Lola Indigo, Don Patricio;253874;8/1/19
12;Contando Lunares (feat. Cruz Cafuné);by Don Patricio;236046;8/1/19
13;Diavla;by Chris Viz, Young Vene;231778;8/1/19
14;La Rubia - Remix 2;by La Nueva Escuela, Omar Montes;210351;8/1/19
15;11:00 PM;by Maluma;210095;8/1/19
16;Cristina (feat. Shelow Shaq);by Maffio, Justin Quiles, Nacho;206214;8/1/19
17;Milionària;by ROSALÍA;194439;8/1/19
18;Te Soñé De Nuevo;by Ozuna;188371;8/1/19
19;Con Altura;by ROSALÍA, J Balvin, El Guincho;187592;8/1/19
20;Con Calma;by Daddy Yankee, Snow;186661;8/1/19
21;Verte Ir;by DJ Luian, Mambo Kingz, Anuel AA, Nicky Jam, Darell, Brytiago;180469;8/1/19
22;Tal Vez;by Paulo Londra;177255;8/1/19
23;Cuaderno;by Dalex, Nicky Jam, Justin Quiles, Sech, Lenny Tavárez, Feid, Rafa Pabön;175767;8/1/19
24;Baila Conmigo (feat. Kelly Ruiz);by Dayvi, Victor Cardenas, Kelly Ruíz;171970;8/1/19
